SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,SystemSellPrice,SystemBuyPrice,BsadDefaulted,PriceDerivationCode,ReserveScarcityPrice,NetImbalanceVolume,SellPriceAdjustment,BuyPriceAdjustment,ReplacementPrice,ReplacementPriceReferenceVolume,TotalAcceptedOfferVolume,TotalAcceptedBidVolume,TotalAdjustmentSellVolume,TotalAdjustmentBuyVolume,TotalSystemTaggedAcceptedOfferVolume,TotalSystemTaggedAcceptedBidVolume,TotalSystemTaggedAdjustmentSellVolume,TotalSystemTaggedAdjustmentBuyVolume
2016-01-01,1,2016-01-01T00:00:00Z,2016-01-01T00:51:05Z,29.600000000000000000,29.600000000000000000,False,N,,-253.350400000000000000,0.00,0.00,,,644.101600000000000000,-1284.477000000000000000,-192.500000000000000000,579.500000000000000000,644.101600000000000000,-1234.477000000000000000,-192.500000000000000000,579.500000000000000000
2016-01-01,2,2016-01-01T00:30:00Z,2016-01-01T01:21:04Z,48.136400000000000000,48.136400000000000000,False,P,,55.886700000000000000,0.00,0.00,,,742.344700000000000000,-1072.067400000000000000,-192.500000000000000000,579.500000000000000000,692.344700000000000000,-1072.067400000000000000,-192.500000000000000000,579.500000000000000000
2016-01-01,3,2016-01-01T01:00:00Z,2016-01-01T01:51:05Z,49.023610000000000000,49.023610000000000000,False,P,,239.785700000000000000,0.00,0.00,,,922.177800000000000000,-1069.392500000000000000,-192.500000000000000000,579.500000000000000000,872.177800000000000000,-1069.392500000000000000,-192.500000000000000000,579.500000000000000000
2016-01-01,4,2016-01-01T01:30:00Z,2016-01-01T02:21:39Z,46.000000000000000000,46.000000000000000000,False,P,,18.180500000000000000,0.00,0.00,,,668.938900000000000000,-1038.479200000000000000,-192.500000000000000000,579.500000000000000000,650.758400000000000000,-1038.479200000000000000,-192.500000000000000000,579.500000000000000000
2016-01-01,5,2016-01-01T02:00:00Z,2016-01-01T02:51:30Z,48.500000000000000000,48.500000000000000000,False,P,,89.083300000000000000,0.00,0.00,,,648.508300000000000000,-946.425000000000000000,-192.500000000000000000,579.500000000000000000,598.508300000000000000,-946.425000000000000000,-192.500000000000000000,579.500000000000000000
2016-01-01,6,2016-01-01T02:30:00Z,2016-01-01T03:21:26Z,48.500000000000000000,48.500000000000000000,False,P,,161.231600000000000000,0.00,0.00,,,681.571800000000000000,-907.406900000000000000,-192.500000000000000000,579.500000000000000000,631.571800000000000000,-907.406900000000000000,-192.500000000000000000,579.500000000000000000
2016-01-01,7,2016-01-01T03:00:00Z,2016-01-01T03:51:04Z,59.000000000000000000,59.000000000000000000,False,P,,465.938200000000000000,0.00,0.00,,,941.763200000000000000,-862.825000000000000000,-192.500000000000000000,579.500000000000000000,891.763200000000000000,-862.825000000000000000,-192.500000000000000000,579.500000000000000000
2016-01-01,8,2016-01-01T03:30:00Z,2016-01-01T04:21:04Z,49.938310000000000000,49.938310000000000000,False,P,,162.258700000000000000,0.00,0.00,,,476.356700000000000000,-700.308800000000000000,-192.500000000000000000,579.500000000000000000,426.356700000000000000,-700.308800000000000000,-192.500000000000000000,579.500000000000000000
2016-01-01,9,2016-01-01T04:00:00Z,2016-01-01T04:50:56Z,54.236160000000000000,54.236160000000000000,False,P,,208.824400000000000000,0.00,0.00,,,396.629600000000000000,-574.361200000000000000,-192.500000000000000000,579.500000000000000000,346.629600000000000000,-574.361200000000000000,-192.500000000000000000,579.500000000000000000
2016-01-01,10,2016-01-01T04:30:00Z,2016-01-01T05:21:21Z,48.500000000000000000,48.500000000000000000,False,P,,122.622200000000000000,0.00,0.00,,,336.298500000000000000,-600.466700000000000000,-192.500000000000000000,579.500000000000000000,286.298500000000000000,-600.466700000000000000,-192.500000000000000000,579.500000000000000000
2016-01-01,11,2016-01-01T05:00:00Z,2016-01-01T05:51:02Z,41.925540000000000000,41.925540000000000000,False,P,,11.398500000000000000,0.00,0.00,,,372.740300000000000000,-748.341900000000000000,-192.500000000000000000,579.500000000000000000,361.341800000000000000,-748.341900000000000000,-192.500000000000000000,579.500000000000000000
2016-01-01,12,2016-01-01T05:30:00Z,2016-01-01T06:21:07Z,30.308780000000000000,30.308780000000000000,False,N,,-117.861900000000000000,0.00,0.00,,,320.138200000000000000,-825.783400000000000000,-192.500000000000000000,579.500000000000000000,320.138200000000000000,-775.783400000000000000,-192.500000000000000000,579.500000000000000000
2016-01-01,13,2016-01-01T06:00:00Z,2016-01-01T06:50:59Z,30.070560000000000000,30.070560000000000000,False,N,,-311.203600000000000000,0.00,0.00,,,571.190000000000000000,-689.973500000000000000,-192.500000000000000000,0.000000000000000000,571.190000000000000000,-639.973500000000000000,-192.500000000000000000,0.000000000000000000
2016-01-01,14,2016-01-01T06:30:00Z,2016-01-01T07:21:04Z,30.074840000000000000,30.074840000000000000,False,N,,-344.388700000000000000,0.00,0.00,,,689.170300000000000000,-798.007000000000000000,-235.552000000000000000,0.000000000000000000,689.170300000000000000,-748.007000000000000000,-235.552000000000000000,0.000000000000000000
2016-01-01,15,2016-01-01T07:00:00Z,2016-01-01T07:51:05Z,30.200000000000000000,30.200000000000000000,False,N,0.000000000000000000,-162.587500000000000000,0.00,0.00,,,687.647000000000000000,-714.156500000000000000,-180.000000000000000000,44.027000000000000000,687.647000000000000000,-664.156500000000000000,-180.000000000000000000,44.027000000000000000
2016-01-01,16,2016-01-01T07:30:00Z,2016-01-01T08:21:23Z,30.200000000000000000,30.200000000000000000,False,N,0.000000000000000000,-131.816800000000000000,0.00,0.00,,,695.708300000000000000,-647.525100000000000000,-180.000000000000000000,0.000000000000000000,695.708300000000000000,-597.525100000000000000,-180.000000000000000000,0.000000000000000000
