SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,SystemSellPrice,SystemBuyPrice,BsadDefaulted,PriceDerivationCode,ReserveScarcityPrice,NetImbalanceVolume,SellPriceAdjustment,BuyPriceAdjustment,ReplacementPrice,ReplacementPriceReferenceVolume,TotalAcceptedOfferVolume,TotalAcceptedBidVolume,TotalAdjustmentSellVolume,TotalAdjustmentBuyVolume,TotalSystemTaggedAcceptedOfferVolume,TotalSystemTaggedAcceptedBidVolume,TotalSystemTaggedAdjustmentSellVolume,TotalSystemTaggedAdjustmentBuyVolume
2017-01-01,1,2017-01-01T00:00:00Z,2017-01-01T00:51:39Z,40.000000000000000000,40.000000000000000000,False,N,,-251.865900000000000000,0.00,0.00,,,457.212800000000000000,-918.865900000000000000,-75.000000000000000000,285.000000000000000000,457.212800000000000000,-868.865900000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,2,2017-01-01T00:30:00Z,2017-01-01T01:21:41Z,46.865000000000000000,46.865000000000000000,False,P,,26.718300000000000000,0.00,0.00,,,553.189300000000000000,-736.471000000000000000,-75.000000000000000000,285.000000000000000000,526.471000000000000000,-736.471000000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,3,2017-01-01T01:00:00Z,2017-01-01T01:51:46Z,40.247370000000000000,40.247370000000000000,False,N,,-93.066100000000000000,0.00,0.00,,,385.542100000000000000,-688.699500000000000000,-75.000000000000000000,285.000000000000000000,385.542100000000000000,-638.699500000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,4,2017-01-01T01:30:00Z,2017-01-01T02:21:41Z,40.050000000000000000,40.050000000000000000,False,N,,-403.279100000000000000,0.00,0.00,,,348.566700000000000000,-962.404100000000000000,-75.000000000000000000,285.000000000000000000,348.566700000000000000,-912.404100000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,5,2017-01-01T02:00:00Z,2017-01-01T02:51:41Z,40.016020000000000000,40.016020000000000000,False,N,,-447.975100000000000000,0.00,0.00,,,290.166600000000000000,-948.141700000000000000,-75.000000000000000000,285.000000000000000000,290.166600000000000000,-898.141660000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,6,2017-01-01T02:30:00Z,2017-01-01T03:21:40Z,40.050000000000000000,40.050000000000000000,False,N,,-251.652800000000000000,0.00,0.00,,,161.460200000000000000,-623.732000000000000000,-75.000000000000000000,285.000000000000000000,161.460200000000000000,-573.732000000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,7,2017-01-01T03:00:00Z,2017-01-01T03:51:40Z,40.050000000000000000,40.050000000000000000,False,N,,-219.848680000000000000,0.00,0.00,,,200.000000000000000000,-629.848700000000000000,-75.000000000000000000,285.000000000000000000,200.000000000000000000,-579.848700000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,8,2017-01-01T03:30:00Z,2017-01-01T04:21:39Z,39.200000000000000000,39.200000000000000000,False,N,,-325.627900000000000000,0.00,0.00,,,225.000200000000000000,-760.627900000000000000,-75.000000000000000000,285.000000000000000000,225.000200000000000000,-710.627900000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,9,2017-01-01T04:00:00Z,2017-01-01T04:51:43Z,40.175340000000000000,40.175340000000000000,False,N,,-105.758600000000000000,0.00,0.00,,,361.126800000000000000,-677.602900000000000000,-75.000000000000000000,285.000000000000000000,361.126800000000000000,-627.602900000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,10,2017-01-01T04:30:00Z,2017-01-01T05:21:41Z,40.250000000000000000,40.250000000000000000,False,N,,-24.486100000000000000,0.00,0.00,,,236.909200000000000000,-470.716400000000000000,-75.000000000000000000,285.000000000000000000,236.909200000000000000,-446.230300000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,11,2017-01-01T05:00:00Z,2017-01-01T05:51:40Z,63.929760000000000000,63.929760000000000000,False,P,,77.666800000000000000,0.00,0.00,,,254.507200000000000000,-386.840500000000000000,-75.000000000000000000,285.000000000000000000,204.507200000000000000,-386.840500000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,12,2017-01-01T05:30:00Z,2017-01-01T06:21:39Z,38.500000000000000000,38.500000000000000000,False,N,,-104.187190000000000000,0.00,0.00,,,237.525000000000000000,-551.712200000000000000,-75.000000000000000000,285.000000000000000000,237.525000000000000000,-501.712200000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,13,2017-01-01T06:00:00Z,2017-01-01T06:51:38Z,38.100000000000000000,38.100000000000000000,False,N,,-281.545200000000000000,0.00,0.00,,,270.097700000000000000,-761.642900000000000000,-75.000000000000000000,285.000000000000000000,270.097700000000000000,-711.642900000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,14,2017-01-01T06:30:00Z,2017-01-01T07:21:39Z,38.266430000000000000,38.266430000000000000,False,N,,-332.696300000000000000,0.00,0.00,,,286.060700000000000000,-828.757000000000000000,-75.000000000000000000,285.000000000000000000,286.060700000000000000,-778.757000000000000000,-75.000000000000000000,285.000000000000000000
2017-01-01,15,2017-01-01T07:00:00Z,2017-01-01T07:51:47Z,38.500000000000000000,38.500000000000000000,False,N,,-299.661320000000000000,0.00,0.00,,,398.826900000000000000,-811.921200000000000000,-75.000000000000000000,187.500000000000000000,398.826900000000000000,-761.921200000000000000,-75.000000000000000000,187.500000000000000000
